topic_slug,question,A,B,C,D,correct_answer,explanation_vi,difficulty
chu-de-6-giai-quyet-van-de-voi-s-bai-16-cac-cau-truc-dieu-khien,"Trong sơ đồ khối, hình thoi được dùng để mô tả điều gì?",Một hành động cần thực hiện.,Điểm bắt đầu hoặc kết thúc của thuật toán.,Một điều kiện cần kiểm tra.,Một luồng dữ liệu.,C,Sơ đồ khối sử dụng hình thoi để mô tả điều kiện trong cấu trúc rẽ nhánh.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-16-cac-cau-truc-dieu-khien,Đặc điểm của cấu trúc rẽ nhánh dạng thiếu là gì?,"Luôn có hai lựa chọn để thực hiện, một khi đúng và một khi sai.","Chỉ thực hiện một công việc nếu điều kiện đúng, và không làm gì nếu điều kiện sai.",Thực hiện một công việc lặp đi lặp lại cho đến khi điều kiện dừng.,Các lệnh được thực hiện theo trình tự từ trên xuống dưới.,B,"Cấu trúc rẽ nhánh dạng thiếu chỉ thực hiện hành động nếu điều kiện đúng, không có hành động nào nếu điều kiện sai.",2
chu-de-6-giai-quyet-van-de-voi-s-bai-16-cac-cau-truc-dieu-khien,"Trong cấu trúc rẽ nhánh dạng đủ, điều gì xảy ra?",Chỉ có một hành động được thực hiện nếu điều kiện đúng.,"Thực hiện hành động A nếu điều kiện đúng, hoặc hành động B nếu điều kiện sai.",Các hành động được thực hiện tuần tự mà không cần kiểm tra điều kiện.,Một hành động được lặp lại nhiều lần cho đến khi điều kiện dừng.,B,"Cấu trúc rẽ nhánh dạng đủ thực hiện hành động A nếu đúng, hành động B nếu sai.",2
chu-de-6-giai-quyet-van-de-voi-s-bai-16-cac-cau-truc-dieu-khien,Cấu trúc lặp được sử dụng khi nào?,Khi cần thực hiện các lệnh theo một trình tự cố định.,Khi cần thực hiện các hành động khác nhau tùy thuộc vào một điều kiện.,Khi cần mô tả các bước của thuật toán được thực hiện nhiều lần.,Khi cần chia nhỏ một vấn đề lớn thành các phần nhỏ hơn.,C,Cấu trúc lặp dùng để mô tả các bước của thuật toán được thực hiện nhiều lần.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-16-cac-cau-truc-dieu-khien,Điều gì là cần thiết trong mọi cấu trúc lặp?,Phải có ít nhất hai hành động được lặp lại.,Một điều kiện để biết khi nào dừng lại quá trình lặp.,Chỉ thực hiện lặp nếu điều kiện ban đầu là sai.,Các bước lặp phải luôn giống hệt nhau.,B,Mọi cấu trúc lặp đều cần điều kiện để biết khi nào dừng lại quá trình lặp.,2
chu-de-6-giai-quyet-van-de-voi-s-bai-16-cac-cau-truc-dieu-khien,Ba cấu trúc điều khiển cơ bản nào là đủ để mô tả mọi thuật toán?,"Tuần tự, rẽ nhánh và song song.","Tuần tự, rẽ nhánh và lặp.","Rẽ nhánh, lặp và ngẫu nhiên.","Tuần tự, lặp và phân tích.",B,"Ba cấu trúc tuần tự, rẽ nhánh và lặp là đủ để mô tả mọi thuật toán.",1
chu-de-6-giai-quyet-van-de-voi-s-bai-17-chuong-trinh-may-tinh,Chương trình máy tính là gì?,Tập hợp các hình ảnh và âm thanh.,Tập hợp các lệnh chỉ dẫn máy tính thực hiện một thuật toán.,Tập hợp các bài hát và video giải trí.,Tập hợp các tài liệu văn bản.,B,"Chương trình máy tính là tập hợp các lệnh chỉ dẫn máy tính thực hiện một thuật toán, giúp máy tính hiểu và làm việc.",1
chu-de-6-giai-quyet-van-de-voi-s-bai-17-chuong-trinh-may-tinh,"Để máy tính có thể hiểu và thực hiện công việc, chúng ta cần chỉ dẫn cho máy tính bằng cách nào?",Nói chuyện trực tiếp với máy tính bằng ngôn ngữ tự nhiên.,Viết chương trình với các lệnh mà máy tính hiểu được.,Vẽ sơ đồ khối mô tả công việc.,Đọc sách hướng dẫn sử dụng cho máy tính.,B,"Máy tính chỉ hiểu các lệnh được viết trong chương trình bằng ngôn ngữ lập trình, không hiểu ngôn ngữ tự nhiên hay sơ đồ khối.",2
chu-de-6-giai-quyet-van-de-voi-s-bai-17-chuong-trinh-may-tinh,Vai trò của chương trình máy tính đối với một thuật toán là gì?,Giúp thuật toán trở nên phức tạp hơn.,Thay thế hoàn toàn thuật toán.,Giúp con người ghi nhớ thuật toán dễ dàng hơn.,Mô tả thuật toán để máy tính hiểu và thực hiện được.,D,Chương trình máy tính có vai trò mô tả thuật toán bằng các lệnh để máy tính có thể hiểu và thực hiện các bước của thuật toán.,2
chu-de-6-giai-quyet-van-de-voi-s-bai-17-chuong-trinh-may-tinh,Mục đích chính của việc viết một chương trình máy tính là gì?,Để lưu trữ thông tin cá nhân.,Để máy tính có thể hiểu và thực hiện một công việc cụ thể.,Để máy tính có thể giải trí cho con người.,Để trang trí cho màn hình máy tính.,B,Mục đích chính của chương trình là để máy tính có thể hiểu và thực hiện các chỉ dẫn để hoàn thành một công việc cụ thể.,2
chu-de-6-giai-quyet-van-de-voi-s-bai-17-chuong-trinh-may-tinh,Máy tính có thể hiểu được loại ngôn ngữ nào sau đây để thực hiện công việc?,Ngôn ngữ tự nhiên của con người.,Sơ đồ khối mô tả thuật toán.,Cả A và B.,Ngôn ngữ lập trình.,D,"Máy tính chỉ có thể hiểu và thực hiện các lệnh được viết bằng ngôn ngữ lập trình, không hiểu ngôn ngữ tự nhiên hay sơ đồ khối.",1
chu-de-6-giai-quyet-van-de-voi-s-bai-17-chuong-trinh-may-tinh,Ngôn ngữ lập trình được dùng để làm gì?,Để con người giao tiếp với nhau.,"Để viết các bài văn, câu chuyện.",Để tạo ra các lệnh cho máy tính hiểu và thực hiện.,Để vẽ các bức tranh.,C,"Ngôn ngữ lập trình là ngôn ngữ đặc biệt được dùng để viết các lệnh, tạo ra chương trình mà máy tính có thể hiểu và thực hiện.",1
chu-de-6-giai-quyet-van-de-voi-s-bai-17-chuong-trinh-may-tinh,Ngôn ngữ lập trình trực quan nào đã được học trong chương trình Tin học lớp 6?,Python.,C.,Java.,Scratch.,D,Scratch là một ngôn ngữ lập trình trực quan mà học sinh lớp 6 đã được học để tạo ra các chương trình.,1
chu-de-6-giai-quyet-van-de-voi-s-bai-17-chuong-trinh-may-tinh,Một chương trình máy tính hoạt động theo trình tự nào?,Chỉ nhận dữ liệu đầu vào rồi trả kết quả.,Chỉ xử lí các bước rồi trả kết quả.,"Nhận dữ liệu đầu vào, tiến hành xử lí các bước, rồi trả lại kết quả đầu ra.",Chỉ trả kết quả đầu ra mà không cần dữ liệu đầu vào.,C,"Chương trình máy tính hoạt động theo ba bước cơ bản: nhận dữ liệu đầu vào, xử lí dữ liệu và trả về kết quả đầu ra.",2
chu-de-6-giai-quyet-van-de-voi-s-bai-17-chuong-trinh-may-tinh,"Khi máy tính thực hiện công việc theo chương trình, nó mang lại lợi ích gì?","Giải quyết công việc một cách nhanh, chính xác và hiệu quả.","Giúp con người thư giãn, không cần làm gì.",Làm tăng thêm sự phức tạp cho công việc.,Giúp máy tính tự động học hỏi và phát triển.,A,"Máy tính thực hiện công việc theo chương trình giúp giải quyết công việc một cách nhanh chóng, chính xác và hiệu quả.",2
chu-de-6-giai-quyet-van-de-voi-s-bai-17-chuong-trinh-may-tinh,Các lệnh trong một chương trình máy tính được thực hiện như thế nào?,"Các lệnh có thể thực hiện tùy ý, không theo thứ tự.",Các lệnh được thực hiện theo một trình tự nhất định.,Máy tính tự động chọn lệnh để thực hiện.,Chỉ những lệnh quan trọng mới được thực hiện theo trình tự.,B,Các lệnh trong chương trình máy tính luôn được thực hiện theo một trình tự nhất định để đảm bảo đúng thuật toán.,2
